id,source,source_id,source_url,name,subcategory,stars,street,house_number,postcode,neighborhood,city,lat,lon,beds,extra_beds,owner,oib,mbo,tourist_board,raw_address,raw_name,source_subcategory,scraped_at
478b0faf-4373-5548-9d9f-eeaaa0f3a0e9,croatia_hr,apartman-3289,https://accommodation.croatia.hr/hr-hr/apartmani/split/apartman-3289/,Apartman,Objekti u domaćinstvu,,Šime Ljubića,39,,,Split,43.505216,16.475347,4,,Dario Matijević,,,Turistička zajednica grada Split,Šime Ljubića 39,Apartman,Objekti u domaćinstvu,2026-05-16T11:59:07+00:00
8fbb8264-362b-5c33-9bf3-645e8dfad8b9,croatia_hr,apartman-2003,https://accommodation.croatia.hr/hr-hr/apartmani/split/apartman-2003/,APARTMAN 2003,Apartman,,Put Žnjana,20A,,,Split,43.502554,16.482392,2,,Plavi safir d.o.o.,,,Turistička zajednica grada Split,Put Žnjana 20A,APARTMAN 2003,Apartman,2026-05-16T11:59:07+00:00
330bb49e-1f89-5d00-aa56-6233ee2eabcd,croatia_hr,all-suites-posh,https://accommodation.croatia.hr/hr-hr/apartmani/split/all-suites-posh/,ALL SUITES POSH,Apartman,,Spinčićeva,27,,,Split,43.501754,16.461985,22,,FLORES SILVESTRES d.o.o.,,,Turistička zajednica grada Split,Spinčićeva 27,ALL SUITES POSH,Apartman,2026-05-16T11:59:07+00:00
796582fc-9643-5bfd-a925-38f0bfde4b78,croatia_hr,apartman-srdan-javorcic,https://accommodation.croatia.hr/hr-hr/apartmani/split/apartman-srdan-javorcic/,Apartman Srđan Javorčić,Objekti u domaćinstvu,,Bračka,13,,,Split,43.5061891181,16.4787009358,6,,Srđan Javorčić,,,Turistička zajednica grada Split,Bračka 13,Apartman Srđan Javorčić,Objekti u domaćinstvu,2026-05-16T11:59:07+00:00
cb8284f4-e6d0-5c10-b8cf-d8ed37335ea8,croatia_hr,apartman-0004,https://accommodation.croatia.hr/hr-hr/apartmani/split/apartman-0004/,APARTMAN 0004,Apartman,,Put Žnjana,20A,,,Split,43.502554,16.482392,2,,Plavi safir d.o.o.,,,Turistička zajednica grada Split,Put Žnjana 20A,APARTMAN 0004,Apartman,2026-05-16T11:59:07+00:00
f12befd3-9de9-503b-92b6-40261e46300f,croatia_hr,apartman-i-studio-apartman-mijo-galiot,https://accommodation.croatia.hr/hr-hr/apartmani/split/apartman-i-studio-apartman-mijo-galiot/,Apartman i studio apartman Mijo Galiot,Objekti u domaćinstvu,,Kralja Zvonimira,47,,,Split,43.505943,16.44763,4,,Mijo Galiot,,,Turistička zajednica grada Split,Kralja Zvonimira 47,Apartman i studio apartman Mijo Galiot,Objekti u domaćinstvu,2026-05-16T11:59:07+00:00
d026de03-227f-56de-85b1-7c7e1769988d,croatia_hr,apartman-2457,https://accommodation.croatia.hr/hr-hr/apartmani/split/apartman-2457/,Apartman,Objekti u domaćinstvu,,Šime Ljubića,39,,,Split,43.505216,16.475347,4,,Paula Matijević,,,Turistička zajednica grada Split,Šime Ljubića 39,Apartman,Objekti u domaćinstvu,2026-05-16T11:59:07+00:00
444a4be9-dcdd-50cd-948a-28af46cb986c,croatia_hr,apartman-3459,https://accommodation.croatia.hr/hr-hr/apartmani/split/apartman-3459/,Apartman,Apartman,,Ulica 141. brigade hrvatske vojske,19,,,Split,43.5191703,16.4859948,2,,SMART 2 GO d.o.o.,,,Turistička zajednica grada Split,Ulica 141. brigade hrvatske vojske 19,Apartman,Apartman,2026-05-16T11:59:07+00:00
8a28f07e-f449-50f0-aa75-028ced92cd3f,croatia_hr,eol-apartmani,https://accommodation.croatia.hr/hr-hr/apartmani/split/eol-apartmani/,EOL APARTMANI,Apartman,,Put Žnjana,4,,,Split,43.502738,16.481979,30,,PELJEŠAC NEKRETNINE d.o.o.,,,Turistička zajednica grada Split,Put Žnjana 4,EOL APARTMANI,Apartman,2026-05-16T11:59:07+00:00
8811f76c-266d-57f8-966b-0cf478f93685,croatia_hr,kampanel-2,https://accommodation.croatia.hr/hr-hr/apartmani/split/kampanel-2/,Kampanel,Objekti u domaćinstvu,,Dražanac,1A,,,Split,43.506733,16.43201,4,,Smilja Matijević,,,Turistička zajednica grada Split,Dražanac 1/A,Kampanel,Objekti u domaćinstvu,2026-05-16T11:59:07+00:00
